id,lat,long
101,29.65,80.5
102,29.55,80.41666667
103,29.46666667,80.53333333
104,29.3,80.58333333
105,29.03333333,80.21666667
106,28.68333333,80.35
107,29.85,80.56666667
108,29.53333333,80.46666667
201,29.61666667,80.86666667
202,29.55,81.21666667
203,29.26666667,80.98333333
204,29.38333333,81.31666667
205,29,81.13333333
206,28.95,81.45
207,28.53333333,81.11666667
208,28.75,80.91666667
209,28.8,80.55
210,28.96666667,81.11666667
211,29.38333333,81.2
212,28.56666667,80.81666667
214,29.11666667,80.68333333
215,28.86666667,80.63333333
217,29.15,81.28333333
218,29.23333333,80.93333333
301,29.75,82.55
302,29.31666667,81.76666667
303,29.27469444,82.17961111
304,29.28333333,82.31666667
305,29.13333333,81.6
306,29.55,82.15
307,29.53972222,82.08333333
308,29.2,81.9
309,29.23333333,81.63333333
310,29.26666667,82.21666667
311,29.97111111,81.81888889
312,28.93333333,82.91666667
313,29.73333333,82.1
314,30.05,81.7
315,29.916667,81.916667
316,29.866667,81.25
317,29.8,81.95
319,29.583333,82.3
320,29.5,81.883333
321,29.433333,82.433333
322,29.43111111,82.10744444
323,29.383333,81.966667
324,29.333333,81.983333
326,29.316667,82.283333
327,29.25,82.05
328,29.15,82.7
329,29.15,81.6
330,29.1,82.583333
331,29.083333,81.7
332,28.983333,83.816667
399,29.27388889,82.19388889
401,28.88333333,81.25
402,28.85,81.71666667
403,28.78333333,81.33333333
404,28.7,82.2
405,28.65,81.26666667
406,28.6,81.61666667
407,28.01666667,82.11666667
408,28.16666667,81.35
409,28.11375,81.59027778
410,28.78333333,81.58333333
411,28.43333333,81.1
412,28.26666667,81.71666667
413,28.35,81.7
414,28.05,81.9
415,28.43333333,81.35
416,28.05194444,81.52277778
417,28.33361111,81.33777778
418,28.98333333,82.28333333
419,28.02986111,81.97491667
420,28.1,81.66666667
429,28.533333,81.783333
430,28.533333,81.9
431,28.533333,82.016667
432,28.433333,81.883333
433,28.416667,81.733333
434,28.35,81.316667
435,28.283333,81.25
436,28.283333,81.95
437,28.183333,81.483333
501,28.6,82.63333333
502,28.58333333,82.81666667
504,28.3,82.63333333
505,28.1,82.86666667
507,28.21666667,82.11666667
508,28.13333333,82.3
510,27.7,82.53333333
511,28.38333333,82.16666667
512,28.3,82.28333333
513,28.63333333,82.2
514,28.63333333,82.48333333
515,28.05,82.5
518,28.55,82.35
519,28.483333,82.266667
521,28.466667,82.066667
523,28.333333,81.866667
525,28.283333,82.083333
527,28.183333,82.5
529,28.183333,82.15
530,28.133333,82.633333
531,28.016667,82.25
532,28.016667,82.383333
533,27.966667,82.616667
537,27.883333,82.516667
601,28.78333333,83.71666667
604,28.75,83.7
605,28.26666667,83.6
606,28.48333333,83.65
607,28.63333333,83.6
608,28.81666667,83.88333333
609,28.35,83.56666667
610,29.05,83.88333333
612,29.18333333,83.96666667
613,28.18333333,83.75
614,28.21666667,83.7
615,28.4,83.1
616,28.6,83.21666667
619,28.4,83.73333333
620,28.03333333,83.65
621,28.38333333,83.4
622,28.15,83.56666667
626,28.46666667,83.6
627,28.38333333,83.48333333
630,28.13333333,83.61666667
701,27.95,83.43333333
702,27.86386111,83.53861111
703,27.69438889,83.46630556
704,27.68333333,84.05
705,27.50691667,83.4205
706,27.68333333,84.21666667
707,27.52916667,83.45808333
708,27.53472222,83.66472222
710,27.59083333,83.87472222
715,27.93333333,83.15
716,27.55,83.06666667
721,27.76666667,83.05
722,28.16666667,83.26666667
723,27.68333333,82.8
725,28.06666667,83.25
726,27.86666667,83.8
727,27.47027778,83.27611111
728,27.53333333,83.75
801,28.36666667,84.9
802,28.28333333,84.36666667
804,28.2,83.97972222
805,28.09861111,83.87241667
806,28.66666667,84.61666667
807,28.13333333,84.35
808,27.93333333,84.41666667
809,28,84.61666667
810,27.88333333,83.81666667
811,28.21833333,83.97416667
813,28.26666667,83.81666667
814,28.29666667,83.81777778
815,28.03333333,84.1
816,28.55,84.23333333
817,27.96666667,84.28333333
818,28.26666667,83.96666667
819,28.4,83.7
820,28.66666667,84.01666667
821,28.38333333,83.8
822,28.43333333,83.83333333
823,28.2,84.61666667
824,28.36666667,84.1
826,27.97722222,83.755
827,27.86666667,84.13333333
829,28.26666667,83.75
830,28.26666667,83.78333333
832,28.08333333,83.91666667
902,27.65388889,84.35055556
903,27.58333333,84.53333333
904,27.55,85.13333333
905,27.6,85.08333333
906,27.41666667,85.05
907,27.28333333,85
909,27.16666667,84.98333333
910,27.18333333,85.16666667
911,27.06666667,84.96666667
912,27.01666667,85.38333333
915,27.61666667,85.15
918,27,84.86666667
919,27.41666667,85.16666667
920,27.55,84.81666667
921,27.03333333,85
922,26.76666667,85.3
924,26.95,85.13333333
1001,28.28333333,85.38333333
1002,28.05,84.81666667
1004,27.91666667,85.16666667
1005,27.86666667,84.93333333
1006,27.86666667,85.86666667
1007,27.8,85.25
1008,27.8,85.61666667
1009,27.78333333,85.71666667
1015,27.68333333,85.2
1016,27.95,85.6
1017,27.86666667,85.56666667
1018,27.78333333,85.56666667
1020,27.7,85.65
1022,27.58333333,85.4
1023,27.63944444,85.705
1024,27.61666667,85.55
1027,27.78861111,85.9
1028,27.56666667,85.75
1029,27.66666667,85.33333333
1030,27.7,85.36666667
1035,27.75,85.48333333
1036,27.65333333,85.62111111
1038,27.72311111,85.16416667
1039,27.73333333,85.33333333
1043,27.7,85.51666667
1049,27.5725,85.52833333
1052,27.66666667,85.41666667
1054,28.16666667,85.31666667
1055,28.1,85.3
1057,28.01666667,85.11666667
1058,28,85.55
1059,27.7,85.41666667
1060,27.6,85.33333333
1061,27.65,85.38333333
1062,27.68388889,85.70666667
1063,27.7,85.78333333
1071,27.77666667,85.35833333
1073,27.63333333,85.28333333
1074,27.76666667,85.41666667
1075,27.58333333,85.28333333
1076,27.68333333,85.25
1077,27.75,85.41666667
1078,27.9,85.63333333
1079,27.75,85.25
1080,27.65,85.35
1081,27.78333333,85.28333333
1082,27.65,85.46666667
1083,27.78333333,85.4
1101,27.68333333,86.1
1102,27.66666667,86.05
1103,27.63333333,86.23333333
1104,27.51666667,86.05
1106,27.31666667,86.08333333
1107,27.28333333,85.96666667
1108,27.18333333,86.16666667
1109,27.08333333,85.66666667
1110,27.03333333,85.91666667
1111,26.71666667,85.96666667
1112,26.91666667,86.16666667
1114,26.8,85.98333333
1115,27.45,85.81666667
1117,27.33333333,85.5
1118,26.88333333,85.41666667
1119,26.88333333,85.78333333
1120,26.86666667,85.56666667
1121,27.11666667,85.46666667
1202,27.7,86.71666667
1203,27.43333333,86.56666667
1204,27.35,86.75
1206,27.31666667,86.5
1207,27.48333333,86.41666667
1210,27.13333333,86.43333333
1211,27.03333333,86.83333333
1212,26.73672222,86.93138889
1213,26.93333333,86.51666667
1215,26.73277778,86.47694444
1216,26.65611111,86.21166667
1219,27.5,86.58333333
1220,27.48333333,86.61666667
1222,27.21666667,86.8
1223,26.80083333,86.69861111
1224,27.55,86.38333333
1226,26.59527778,86.9
1301,27.55,87.28333333
1303,27.29222222,87.31666667
1304,27.04638889,87.2925
1305,27.15333333,87.28916667
1306,27.05,87.24444444
1307,26.98333333,87.34583333
1308,26.93166667,87.31944444
1309,26.93333333,87.15
1311,26.79194444,87.28472222
1312,26.61666667,87.38333333
1314,27.12277778,87.53611111
1316,26.81666667,87.16666667
1317,27.76666667,87.41666667
1319,26.48333333,87.26694444
1320,26.69861111,87.27861111
1321,27.30111111,87.20416667
1322,26.96666667,87.16666667
1323,26.78333333,87.28333333
1324,27.18333333,87.05
1325,27.36666667,87.15
1403,27.55,87.78333333
1404,27.48333333,87.78333333
1405,27.35,87.66666667
1406,27.2,87.93333333
1407,26.90972222,87.92305556
1408,26.77055556,87.70333333
1409,26.625,87.98861111
1410,26.88333333,88.03333333
1411,26.8,87.9
1412,26.56388889,88.06138889
1415,26.68972222,87.98861111
1416,26.86805556,88.07833333
1419,27.14361111,87.75166667
1420,27.35,87.6
1421,26.65083333,87.86055556
